iter	Logloss
0	0.6866431993
1	0.680666801
2	0.6752543464
3	0.6705737963
4	0.6664404486
5	0.6625764363
6	0.6589411454
7	0.6553103378
8	0.6520209759
9	0.6493087047
10	0.6467399542
11	0.6442639711
12	0.6421301903
13	0.640367006
14	0.6383812481
15	0.6366423528
16	0.6352376865
17	0.634018063
18	0.6326405704
19	0.631514802
20	0.6303347237
21	0.6292989986
22	0.6283082667
23	0.6273219235
24	0.6264796401
25	0.6255877667
26	0.6246307822
27	0.6237292329
28	0.6228935988
29	0.6221088977
30	0.6212243735
31	0.6204652005
32	0.6197529597
33	0.6191087433
34	0.6186616385
35	0.618016533
36	0.6174065368
37	0.6168490533
38	0.6163055208
39	0.6157544311
40	0.6153222799
41	0.6148851536
42	0.6144991402
43	0.6140670268
44	0.6136933187
45	0.6132818624
46	0.6129133657
47	0.6125361959
48	0.6120859698
49	0.611707069
50	0.6112620451
51	0.6109026474
52	0.6105844596
53	0.610218706
54	0.6097692177
55	0.6093844811
56	0.6090116715
57	0.6086421723
58	0.6082506919
59	0.6079455756
60	0.6076386338
61	0.6073506749
62	0.6069883735
63	0.6067388249
64	0.6064359313
65	0.6060995268
66	0.6058563342
67	0.6054765632
68	0.6052306182
69	0.6049626164
70	0.6047519605
71	0.6044687969
72	0.6041969455
73	0.6039133848
74	0.6035900706
75	0.6033773527
76	0.6031127275
77	0.6028553947
78	0.6026089862
79	0.6023777773
80	0.6021381599
81	0.6018852914
82	0.6015008197
83	0.6011493292
84	0.6009442063
85	0.6006783705
86	0.6003527958
87	0.6001623333
88	0.5999412259
89	0.5997339182
90	0.5994903945
91	0.5992408365
92	0.5989950617
93	0.5988207636
94	0.5985342612
95	0.5983680784
96	0.5982258061
97	0.5980704247
98	0.5979160552
99	0.5976348212
100	0.5975149936
101	0.5973189602
102	0.5970213443
103	0.5968047769
104	0.5966805417
105	0.5965187002
106	0.5962394051
107	0.5960015375
108	0.5958519446
109	0.5956618983
110	0.5954786337
111	0.5952256517
112	0.5949802363
113	0.5946799438
114	0.594524392
115	0.5943791404
116	0.5941417458
117	0.593792478
118	0.5935884239
119	0.5932876017
120	0.593045336
121	0.592835711
122	0.5925583454
123	0.5924146355
124	0.5922548464
125	0.5921167832
126	0.5918893008
127	0.5916696878
128	0.5914426973
129	0.591315303
130	0.5911546722
131	0.5909485184
132	0.5907230696
133	0.5904201476
134	0.5901500933
135	0.590032687
136	0.5899056049
137	0.5897330944
138	0.5896076769
139	0.5894516617
140	0.5892197245
141	0.5890679372
142	0.5889287957
143	0.5888021675
144	0.5886407044
145	0.5883631118
146	0.5881751274
147	0.587998408
148	0.5877654966
149	0.5876328435
150	0.5875024509
151	0.5873437023
152	0.587200749
153	0.5870110149
154	0.5868655174
155	0.586637827
156	0.5864854154
157	0.5863415731
158	0.5860916556
159	0.5859874626
160	0.5858407923
161	0.5856621338
162	0.5854434572
163	0.5852391099
164	0.5850143705
165	0.5848926891
166	0.5847028793
167	0.5845414066
168	0.5843461772
169	0.5841821981
170	0.5840170084
171	0.583894854
172	0.5837029634
173	0.5835297056
174	0.5833687532
175	0.5832280132
176	0.5831027755
177	0.5829719857
178	0.5827525996
179	0.5825714726
180	0.5824899512
181	0.5823340306
182	0.5821561762
183	0.5820077276
184	0.5818173787
185	0.5817002562
186	0.5814781273
187	0.5813142144
188	0.5811691803
189	0.5810276742
190	0.5808487037
191	0.5806716815
192	0.5804799422
193	0.5803235487
194	0.5801199581
195	0.5799118937
196	0.5797427788
197	0.5796026063
198	0.5794164569
199	0.5792717255
200	0.5790501357
201	0.5788477085
202	0.5787133623
203	0.5784991879
204	0.5783485828
205	0.5782428198
206	0.5780520169
207	0.5778626138
208	0.5777190079
209	0.5775260674
210	0.5773426325
211	0.5772263139
212	0.5770144757
213	0.5767960734
214	0.5766326145
215	0.5764945228
216	0.5763551448
217	0.5762054762
218	0.5759899114
219	0.5757737696
220	0.5755781051
221	0.5754129058
222	0.5752341717
223	0.5750950491
224	0.5748565478
225	0.5746721009
226	0.5745544676
227	0.5743694343
228	0.5741541154
229	0.5739490682
230	0.5737093941
231	0.5735476282
232	0.5734379778
233	0.5732595653
234	0.5730712404
235	0.5729100043
236	0.5728063504
237	0.5726674643
238	0.5724761127
239	0.5722502383
240	0.5720455317
241	0.5717789391
242	0.571587947
243	0.5713970211
244	0.5711952844
245	0.5709258354
246	0.5707428735
247	0.5704746068
248	0.5703010369
249	0.5701109907
250	0.5699478061
251	0.5697688639
252	0.5694741423
253	0.5692980187
254	0.569136669
255	0.5689261644
256	0.5687700262
257	0.5685730943
258	0.5684505049
259	0.568322789
260	0.5681654308
261	0.5679974413
262	0.5678059669
263	0.5675666522
264	0.5673609429
265	0.5672175073
266	0.5670596477
267	0.5668587528
268	0.5666677796
269	0.5664715287
270	0.5662688082
271	0.5660257007
272	0.5658219967
273	0.5657125921
274	0.565525128
275	0.5653917939
276	0.5651927149
277	0.5649596995
278	0.5648020575
279	0.5645741779
280	0.5643871772
281	0.5641834731
282	0.563938001
283	0.5637567226
284	0.5635590624
285	0.5633758451
286	0.5631838504
287	0.5630178756
288	0.5628448827
289	0.5625796711
290	0.5624007951
291	0.5622749804
292	0.5621253117
293	0.5619305647
294	0.5617793354
295	0.5616444312
296	0.5614817952
297	0.5613206915
298	0.5612015827
299	0.5610062965
