iter	Passed	Remaining
0	171	51223
1	193	28853
2	218	21625
3	240	17829
4	263	15555
5	284	13954
6	306	12819
7	328	11995
8	345	11170
9	362	10503
10	379	9976
11	395	9498
12	411	9086
13	427	8740
14	444	8443
15	460	8167
16	476	7940
17	493	7726
18	509	7528
19	525	7351
20	540	7174
21	556	7032
22	575	6926
23	592	6815
24	609	6706
25	627	6609
26	654	6614
27	675	6566
28	696	6512
29	721	6494
30	742	6442
31	762	6382
32	780	6314
33	799	6251
34	819	6206
35	840	6160
36	860	6116
37	881	6074
38	901	6035
39	923	5999
40	942	5953
41	964	5925
42	985	5891
43	1008	5865
44	1029	5833
45	1044	5770
46	1061	5712
47	1076	5653
48	1093	5601
49	1109	5546
50	1125	5494
51	1141	5445
52	1157	5392
53	1174	5348
54	1190	5303
55	1207	5263
56	1225	5223
57	1240	5177
58	1257	5137
59	1274	5096
60	1288	5050
61	1304	5007
62	1320	4967
63	1335	4926
64	1352	4889
65	1368	4852
66	1384	4815
67	1401	4782
68	1417	4744
69	1433	4709
70	1447	4668
71	1464	4636
72	1479	4601
73	1495	4566
74	1511	4533
75	1526	4499
76	1542	4466
77	1557	4433
78	1573	4401
79	1588	4368
80	1603	4336
81	1620	4307
82	1636	4277
83	1652	4248
84	1667	4218
85	1685	4194
86	1701	4165
87	1716	4135
88	1732	4107
89	1747	4078
90	1763	4051
91	1779	4023
92	1794	3995
93	1810	3967
94	1826	3940
95	1841	3912
96	1856	3885
97	1872	3859
98	1887	3832
99	1903	3806
100	1918	3779
101	1934	3754
102	1951	3731
103	1967	3708
104	1982	3681
105	1998	3656
106	2014	3633
107	2030	3609
108	2046	3585
109	2061	3560
110	2077	3537
111	2093	3513
112	2109	3490
113	2125	3467
114	2140	3443
115	2156	3420
116	2173	3399
117	2191	3380
118	2207	3357
119	2223	3335
120	2240	3314
121	2255	3291
122	2272	3269
123	2287	3246
124	2304	3226
125	2321	3205
126	2336	3183
127	2352	3160
128	2368	3139
129	2385	3119
130	2400	3097
131	2416	3075
132	2432	3054
133	2449	3034
134	2465	3012
135	2480	2991
136	2495	2969
137	2511	2948
138	2527	2927
139	2543	2907
140	2560	2886
141	2575	2865
142	2590	2844
143	2606	2824
144	2622	2803
145	2638	2783
146	2654	2762
147	2670	2742
148	2686	2722
149	2703	2703
150	2719	2683
151	2734	2662
152	2750	2642
153	2766	2622
154	2781	2602
155	2797	2582
156	2812	2562
157	2828	2542
158	2843	2522
159	2859	2502
160	2875	2482
161	2890	2462
162	2907	2443
163	2923	2424
164	2939	2405
165	2956	2386
166	2971	2366
167	2987	2347
168	3003	2328
169	3020	2309
170	3036	2290
171	3051	2270
172	3067	2251
173	3082	2232
174	3098	2213
175	3114	2194
176	3130	2175
177	3147	2157
178	3164	2139
179	3181	2121
180	3198	2102
181	3217	2085
182	3234	2067
183	3251	2049
184	3269	2032
185	3287	2014
186	3304	1996
187	3321	1978
188	3338	1960
189	3354	1941
190	3372	1924
191	3391	1907
192	3408	1889
193	3425	1871
194	3446	1855
195	3465	1838
196	3486	1823
197	3505	1805
198	3524	1788
199	3544	1772
200	3563	1755
201	3581	1737
202	3598	1719
203	3622	1704
204	3639	1686
205	3656	1668
206	3673	1650
207	3688	1631
208	3705	1613
209	3721	1595
210	3737	1576
211	3752	1557
212	3769	1539
213	3785	1521
214	3801	1503
215	3817	1484
216	3834	1466
217	3852	1448
218	3869	1431
219	3887	1413
220	3904	1395
221	3921	1377
222	3939	1360
223	3954	1341
224	3971	1323
225	3989	1306
226	4011	1289
227	4031	1273
228	4052	1256
229	4073	1239
230	4094	1223
231	4113	1205
232	4133	1188
233	4152	1171
234	4173	1154
235	4193	1137
236	4212	1119
237	4232	1102
238	4251	1085
239	4268	1067
240	4286	1049
241	4304	1031
242	4321	1013
243	4340	996
244	4358	978
245	4377	960
246	4397	943
247	4415	925
248	4433	908
249	4450	890
250	4466	872
251	4484	854
252	4502	836
253	4518	818
254	4536	800
255	4554	782
256	4571	764
257	4589	747
258	4612	730
259	4629	712
260	4646	694
261	4673	677
262	4692	660
263	4710	642
264	4728	624
265	4746	606
266	4763	588
267	4780	570
268	4796	552
269	4814	534
270	4832	517
271	4849	499
272	4866	481
273	4884	463
274	4901	445
275	4918	427
276	4935	409
277	4953	392
278	4970	374
279	4989	356
280	5006	338
281	5024	320
282	5042	302
283	5060	285
284	5078	267
285	5095	249
286	5112	231
287	5129	213
288	5146	195
289	5165	178
290	5183	160
291	5199	142
292	5215	124
293	5234	106
294	5252	89
295	5270	71
296	5288	53
297	5305	35
298	5322	17
299	5339	0
